time 	 T1 	 T2 	 T3 	 H1 	  p1 	 p2 	 MFC_soll 	 MFC_ist 
 19:32:13.441017	0.0	146.79	105.08	0	3336 	2012 	0 	 4 	  
 19:32:14.468251	0.0	146.7	105.03	0.0	3336 	2013 	0 	 4 	  
 19:32:14.982267	0.0	146.7	105.03	0.0	3336 	2013 	0 	 4 	  
 19:32:15.496724	0.0	146.35	104.96	0.0	3336 	2013 	0 	 4 	  
 19:32:16.008718	0.0	146.35	104.96	0.0	3336 	2013 	0 	 4 	  
 19:32:16.527834	0.0	146.17	104.94	0.0	3336 	2013 	0 	 4 	  
 19:32:17.040550	0.0	146.17	104.94	0.0	3336 	2013 	0 	 4 	  
 19:32:17.557976	0.0	145.96	104.85	0.0	3336 	2013 	0 	 4 	  
 19:32:18.075827	0.0	145.96	104.85	0.0	3336 	2013 	300 	 4 	  
 19:32:18.589412	0.0	145.71	104.85	0.02156894396279999	3336 	2013 	300 	 5 	  
 19:32:19.104029	0.0	145.63	104.85	0.022457683038299987	3363 	2013 	300 	 146 	  
 19:32:19.624310	0.0	145.63	104.78	0.02309533627860001	3395 	2014 	300 	 306 	  
 19:32:20.137662	0.0	145.4	106.54	0.023619689818800006	3398 	2014 	300 	 300 	  
 19:32:20.654391	0.0	145.4	106.54	0.02448831662879999	3398 	2014 	300 	 298 	  
 19:32:21.169215	0.0	145.25	107.27	0.025017446908799992	3399 	2014 	300 	 298 	  
 19:32:21.684573	0.0	145.25	107.27	0.025772958831300003	3398 	2014 	300 	 298 	  
 19:32:22.199973	0.0	145.07	107.51	0.026305065966299997	3398 	2014 	300 	 298 	  
 19:32:22.717367	0.0	145.07	107.51	0.027113710506300008	3397 	2015 	300 	 298 	  
 19:32:23.234273	0.0	145.04	107.53	0.02765443897570001	3397 	2015 	300 	 298 	  
 19:32:23.752586	0.0	145.04	107.53	0.02824185192370001	3398 	2015 	300 	 298 	  
 19:32:24.271318	0.0	144.93	107.48	0.028783520312500012	3398 	2016 	300 	 298 	  
 19:32:24.789170	0.0	144.93	107.48	0.02949573069929999	3397 	2016 	300 	 298 	  
 19:32:25.307941	0.0	144.82	107.42	0.030043063454499985	3398 	2016 	300 	 298 	  
 19:32:25.827161	0.0	144.82	107.42	0.03075825116950001	3397 	2016 	300 	 298 	  
 19:32:26.344139	0.0	144.81	107.39	0.03130997434150001	3397 	2017 	300 	 298 	  
 19:32:26.862539	0.0	144.81	107.39	0.0318746770489	3397 	2017 	300 	 298 	  
 19:32:27.378794	0.0	144.64	107.39	0.0324258917689	3397 	2017 	300 	 298 	  
 19:32:27.896088	0.0	144.64	107.39	0.03323596914490003	3397 	2015 	300 	 298 	  
 19:32:28.410112	0.0	144.61	107.29	0.033792163653700025	3400 	2014 	300 	 298 	  
 19:32:28.928108	0.0	144.61	107.29	0.03439199685429998	3400 	2014 	300 	 298 	  
 19:32:29.444633	0.0	144.6	107.25	0.03494895879969998	3399 	2014 	300 	 298 	  
 19:32:29.958339	0.0	144.6	107.25	0.03552077274970001	3398 	2015 	300 	 298 	  
 19:32:30.475663	0.0	144.57	107.21	0.03607454781770001	3398 	2015 	300 	 298 	  
 19:32:30.993913	0.0	144.57	107.21	0.03667830947010001	3397 	2015 	300 	 298 	  
 19:32:31.512073	0.0	144.5	107.14	0.03723807129510001	3397 	2015 	300 	 298 	  
 19:32:32.030408	0.0	144.52	107.14	0.0379052748951	3397 	2015 	300 	 298 	  
 19:32:32.548550	0.0	144.52	107.05	0.03843807181229998	3396 	2015 	300 	 298 	  
